"ID";"Nimi";"Kokoelma";"Yleislaji";"Tyyppi";"Muistiinpanija";"Vuosi";"Sivu";"Tahtilaji";"Sävellaji";"Pitäjä";"Kylä";"Maakunta";"Lääni";"Sanat";"Kirjahuomiot";"Kommentit";"Samanlaisuus";"Intervalli";"Melodian suunta"
"kt1_0530";"Kahilaista";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"";"K. V. Hanel";"1876";"418";"2/4";"G";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"Menee a-mollissa.";"";"+5+0+0-2+2-2-1-2-1+1+2+1+0-3+3-1-2-1+1+0+0+5+0+0-2+2-2-1-2-1+1+2+1+0-3+3-1-2-1+1+0-7+2+1+2+2-2-2-1-2-1+1+2+1+0-3+3-1-2-1+1+0+0+2+1+2+2-2-2-1-2-1+1+2+1+0-3+3-1-2-1+1+0";"urrdudddduuurdudddurrurrdudddduuurdudddurduuuuddddduuurdudddurruuuuddddduuurdudddur"
"kt1_0531";"Puhan Miinaa";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"";"Martti Bålman/ K. V. Hanel";"1876";"418";"2/4";"C";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"Menee d-mollissa.";"";"-2-2+2+2-2+0-2-2-1-4+0+4+3+2+2-2-2+2+2-2+0-2-2-1-4+0+4+3+2-2-2-1+1-3+2+0+0-3-4+0+0+4+1+0+2+3-2-1+1-3+2+0+0-3-4+0+0+4+1+0";"dduudrddddruuuudduudrddddruuudddudurrddrruuruuddudurrddrruur"
"kt1_0532";"";"";"";"";"";"";"";"";"";"-()";"";"";"";"";"";"";"";"";""
"kt1_0533";"Kymmenhenkistä";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"";"K. V. Hanel";"1876";"420";"2/4";"D";"Wiitasaari, Pihtipudas, Pielavesi(Pihtipudas)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"-1-2+2+1+2+5+0-7-1-2+2+1+2-2-1-2+2+1+2+5+5-1-2-2-1-2+2+3+0-2+0-7-1-2+2+1+2+5+0-7-1-2+2+1+2-2-1-2+2+1+2+5+5-1-2-2-1-2+2+3+0-2+0+5-1-2+2+3-2-1-2+2+1+2-3-4+5-1-2-2-1-2-2+10-1-2+2+3-2-1-2+3-1-2-2-1-2+2+3+0-2+0+5-1-2+2+3-2-1-2+2+1+2-3-4+5-1-2-2-1-2-2+10-1-2+2+3-2-1-2+3-1-2-2-1-2+2+3+0-2+0";"dduuuurddduuuddduuuuuddddduurdrddduuuurddduuuddduuuuuddddduurdrudduuddduuudduddddddudduuddduddddduurdrudduuddduuudduddddddudduuddduddddduurdr"
"kt1_0534";"";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"";"K. V. Hanel";"1876";"420";"3/4 ja 2/4";"D";"Wiitasaari, Rautalampi, Pohjanmaa(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"+5-1+1-10+2+1+2+0+2+0+2+0+1+0-5+5-1+1-10+2+1-1+1+5-1-2-2-1-2+0-2+0+7+5-1+1-10+2+1+2+0+2+0+2+0+1+0-5+5-1+1-10+2+1-1+1+5-1-2-2-1-2+0-2+0+7+5+4-4+0-1+3-2-1+1+2+2+1+0+0-1-2-2+2+0-7+5+4-4+0-1+3-2-1+1+2+2+1+0+0-1-2-2+2+0+0+5+0-10+2+1+2+3-1-2-2-1+0+1-5+5+4-4+0-1+3-2-1+1+2+2+1+0+0-1-2-2+2+0-7+5+4-4+0-1+3-2-1+1+2+2+1+0+0-1-2-2+2+0+0+5+0-10+2+1+2+3-1-2-2-1+0+1";"ududuuururururdududuuduudddddrdruududuuururururdududuuduudddddrdruuudrdudduuuurrdddurduudrdudduuuurrdddurrurduuuuddddruduudrdudduuuurrdddurduudrdudduuuurrdddurrurduuuuddddru"
"kt1_0535";"Kahdeksan hengen tanssi";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"";"Martti Bålman/ K. V. Hanel";"1876";"421";"2/4";"D";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"-5+5+4-4+4+3+2-2-2-1-2-2-1-4+4+3+2+1-3-3+1+0+0-5+5+4-4+4+3+2-2-2-1-2-2-1-4+4+3+2+1-3-3+1+4-2-2-1-2-2+2+2-4+5-1+1+2+2+1-1-2-2+4-2-2-1-2-2+2+2+3-2+4-4+2-2-1-2-2+2+2-4+5-1+1+2+2+1-1-2-2+4-2-2-1-2-2+2+2+3-2+4-4";"duuduuuddddddduuuuddurrduuduuuddddddduuuudduuddddduududuuuuddduddddduuudududddduududuuuuddduddddduuudud"
"kt1_0536";"Pientä polskaa";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"";"Martti Bålman/ K. V. Hanel";"1876";"422";"2/4";"A";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"+3+4+0-2-2-2-1+0-2-2+0+2+2+1+2+5+0-1+3-3+1-8+3+4+0-2-2-2-1+0-2-2+0+2+2+1+2+5+0-1+3-3+1-3-4+0-3+3+4-2-3+0+3-3+3-2-3+0+0-2+2+2+1+2+5+0-1+3-3+1-3-4+0-3+3+4-2-3+0+3-3+3-2-3+0+0-2+2+2+1+2+5+0-1+3-3+1";"uurddddrddruuuuurdududuurddddrddruuuuurdududdrduuddrududdrrduuuuurdududdrduuddrududdrrduuuuurdudu"
"kt1_0537";"Viitosta";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"Allegro";"Martti Bålman/ K. V. Hanel";"1876";"422";"2/4";"F";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"-2-2-1+3+7-2-1+1+2+2-4-3-2-2-1+13-3+2-4-3-2-2-1+3+7-2-1+1+2+2-4-3-2-2-1+13-3+2-4-1-4+5+0+4-2+0+3-1-4-1-4+5+0+4-2+3-6+3-2-1-4+5+0+4-2+0+3-1-4-1-4+5+0+4-2+3-6+3-2";"ddduudduuudddddududdddduudduuudddddududddurudruddddurudududddurudruddddurududud"
"kt1_0538";"Karin hyllyä";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"Allegro";"Martti Bålman/ K. V. Hanel";"1876";"423";"2/4";"C";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"+2-2-1+1-5+5+4+3+0-2+2-2-1+1-3-7+4+3-2+2-2-1+1-5+5+4+3+0-2+2-2-1+1-3-7+4+3+2-4-1-2+0+0+2+1+2+2+0-2+2-2-2+2-3-4+4+3+2-4-1-2+0+0+2+1+2+2+0-2+2-2-2+2-3-4+4+3";"udduduuurduddudduududduduuurduddudduuudddrruuuurduddudduuudddrruuuurduddudduu"
"kt1_0539";"";"Kansantanssit";"Kaikenlaisia 2/4 polskia";"Allegro";"K. V. Hanel";"1876";"423";"3/4 ja 2/4";"D";"Wiitasaari(Viitasaari)";"";"Keski-Suomi";"Länsi-Suomen lääni";"";"";"";"";"-2+0-2-1+0+1+2+2-2-2-1+1-3+2-4+2+2+1+2+0+2+0-2-2-1+1-3+2-4-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-2+2+5-2-1+1+2+2-2-2-1+3-2-1-2+3-1-2-2+4-2-2-1+1-5-3-4+2+0-2+2+0-2+4+0+3-5+0-2+4+0+3+14-2+0-2-1+0+1+2+2-2-2-1+1-3+2-4+2+2+1+2+0+2+0-2-2-1+1-3+2-4-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-2+2+5-2-1+1+2+2-2-2-1+3-2-1-2+3-1-2-2+4-2-2-1+1-5-3-4+2+0-2+2+0-2+4+0+3-5+0-2+4+0+3+5-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-2+2+5-2-1+1+2+2-2-2-1+3-2-1-2+3-1-2-2+4-2-3+3+0-2+0+0-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-3+3+7-5+1-3+2-4-5+5+4-2-2+2+5-2-1+1+2+2-2-2-1+3-2-1-2+3-1-2-2+4-2-3+3+0-2+0";"drddruuudddududuuuururdddududduudduudududduudduudududduudduudduuudddudddudddudddudddurdurdurudrduruudrddruuudddududuuuururdddududduudduudududduudduudududduudduudduuudddudddudddudddudddurdurdurudrduruuduudduudududduudduudududduudduudduuuddduddduddduddurdrrduudduudududduudduudududduudduudduuuddduddduddduddurdr"
