"ID";"Nimi";"Kokoelma";"Yleislaji";"Tyyppi";"Muistiinpanija";"Vuosi";"Sivu";"Tahtilaji";"Sävellaji";"Pitäjä";"Kylä";"Maakunta";"Lääni";"Sanat";"Kirjahuomiot";"Kommentit";"Samanlaisuus";"Intervalli";"Melodian suunta"
"kjs_0042";"Paimenen huhuilu ja kotiin tulo";"Kantele- ja jouhikkosävelmät";"Runosävelmien sukulaisia";"säkeiden pituus vaihtelee";"Heikki Halonen/A. O. Väisänen";"1917";"20";"2/4";"g";"Lapinlahti";"Akkala";"Pohjois-Savo";"Itä-Suomen lääni";"";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella, tempo: 80";"";"";"-2-2+4+0-4+2+2-4+4+0-2-2-1-2+3+4-7+3+4-4+4+0-2-2-1-2+3+4-7+3+4-4+4-4-1+3-2-1-2+3-1+5+0+0-4-1+3-2-1-2+3-1+5+0+0-4-1+5-2-2-1-2+3-1+5+0+0-4-1+5-2-2-1-2+2+1-1+5-4+4";"ddurduudurdddduuduudurdddduuduududdudddudurrddudddudurrdduddddudurrddudddduududu"
"kjs_0043";"";"Kantele- ja jouhikkosävelmät";"Runosävelmien sukulaisia";"4-iskuiset säkeet";"Jaakko Lonkainen/A. O. Väisänen";"1916";"21";"6/8, 9/8";"g";"Kitee";"Huikkola";"Pohjois-Karjala";"Oulun lääni";"Tuuti lasta tuomariksi, vetäjäksi verkaviitan, kiiku kirjan kantajaksi, panijaksi silkkipaian!";"soittotapa: Eroasentoinen";"Alkeellinen säestyksen käyttö";"Runosävelmät II: [1] [2] [3] [4] Kantele- ja jouhikkosävelmät: [1]";"-5+7-7+8+4-5-7+7+3+2-4+0-1-2+0";"duduudduuudrddr"
"kjs_0044";"Vanha runo";"Kantele- ja jouhikkosävelmät";"Runosävelmien sukulaisia";"";"Tahvo Saastamoinen/A. Lähteenkorva";"1877";"21";"2/4/+3/4";"G";"Nurmes";"Kuokkainen";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Eroasentoinen";"Alkeellinen säestyksen käyttö";"";"+3+2-5+0+2+1-1-4+0+4-4+0+2+0+2-4+5-1-2+2-4+0+2+3+2-5+0+2+1-1-4+0+4-4+0+2+0+2-2+2+1+2-2-3+2-4+0";"uudruuddrudrurududdudruuudruuddrudruruduuuddudr"
"kjs_0045";"Vaivainen poika";"Kantele- ja jouhikkosävelmät";"Runosävelmien sukulaisia";"";"Vanja Trofimov/A. O. Väisänen";"1917";"21";"2/4";"G";"Suojärvi";"Kuikkaniemi";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Eroasentoinen, tempo: 112, äänitteet: prl. 44, 40-44";"Kehittynyt säestyksen käyttö";"";"-7+2-3+3-3-4+12-7+2-3+3-3-4+9-4+2-3+3-3-4+0+9-4+2-3+3-3-4+0+12-7+2-3-2+2-4+12-7+2-3-2+2-4+9-4+2-3-2+2-4+0+9-4+2-3-2+2-4+0";"dududdudududdudududdrudududdrududdudududdudududdudrududdudr"
"kjs_0046";"Kakkuri";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Miinan Domi/A. O. Väisänen";"1917";"22";"2/4";"G";"Suistamo";"Koitto";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"";"-7+4+3-7+4+1-1-2+2+3-7+7-7+4+3-7+4+1-1-2+2+3-7+2+2+1+4-2+0-3+1-1-2-2+2+2+1+4-2+0-3+1-1-2-2+7-7+4+3-7+4+1-1-2+2+3-7+7-7+4+3-7+4+1-1-2+2+3-7+7-2-1-2+5+0-3+1-1-2-2+7-2-1-2+5+0-3+1-1-2-2";"duuduudduududuuduudduuduuuudrduddduuuudrduddduduuduudduududuuduudduududddurdudddudddurduddd"
"kjs_0047";"Kakkuri";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Iivana Lösönen/A. O. Väisänen";"1916";"22";"2/4";"G";"Suistamo";"Leppäsyrjä";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"Kaakkuri, kaakkuri kirjava lintu, kaakkuri, kaakkuri vesilinnun poika. Ensin on kaakkuri, sitten on se, kukapa se taskustas nappailee.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"Laulusävelmät: [1] [2] Kantele- ja jouhikkosävelmät: [1] [2]";"-7+4+3-7+4+1-1-2-2+0+7-7+4+3-7+4+1-1-2-2+0+9-2-2-1+3-7+4+1-1-2+0+2+1-1+3-2-1-2+2-2-2+7-7+4+3-7+4+1-1-2+2-2-2+0+7-7+4+3-7+4+1-1-2+2-2-2+0+9-2-2-1+3-7+4+1-1-2+0+2+1-1+3-2-1-2+2-2-2";"duuduudddruduuduudddruddduduuddruududddudduduuduudduddruduuduudduddruddduduuddruududddudd"
"kjs_0048";"Kakkuri";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Teppana Jänis/A. O. Väisänen";"1916";"23";"2/4";"G";"Suistamo";"Maisu";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"Kaakkuri, kaakkur on kirjava lindu, Kaakkuri, kaakkur on kirjava lindu. Ensin kaakkur ja siittä oli se, segä minun taskussa nappailee. Ensin kaakkur ja siittä oli se, segä minun taskussa nappailee.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 132";"";"Laulusävelmät: [1] [2] Kantele- ja jouhikkosävelmät: [1] [2]";"-3-4+7-3-4+2+2-2+5+0+0-3-4+7-3-4+2+2-2+5+0-5+2+1-3+2-4+4-2+0+5-5+2+1-3+2-4+4-2-7+5";"ddudduudurrddudduudurduudududruduudududdu"
"kjs_0049";"Kakkuri";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Iivana Mishukka/A. O. Väisänen";"1916";"23";"2/4";"G";"Suistamo";"Leppäsyrjä";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"Kikkuli, kakkuli, kirjava lindu, Kikkuli, kakkuli, kirjava lindu. Ensin olit kikkuli, siit olit se, kuga sinun taskusta nappailee.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 138, äänitteet: prl. 10, 49-55";"";"Laulusävelmät: [1] [2] Kantele- ja jouhikkosävelmät: [1] [2]";"-7+4+3-7+4+3-2-1-2-2+0+7-7+4+3-7+4+3-2-1-2-2+0+5-1-2+3-1-4+4-2-7+7+5-3+3-2-1-2-2+0+4-2+5+0-2-1-2+3-1-4+4-2-7+7+5-3+3-2-1-2-2+0+4-2+5+0+0-7+4+3-7+4+3-2-1-2-2+0+7-7+4+3-7+4+3-2-1-2-2+0+5-1-2+3-1-4+4-2+0-2+0+4-2+5-7";"duuduuddddruduuduuddddrudduddudduududdddrudurddduddudduududdddrudurrduuduuddddruduuduuddddrudduddudrdrudud"
"kjs_0050";"";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"K. Collan";"1854";"23";"2/4";"G";"Eno";"Kaltimo";"Pohjois-Karjala";"Oulun lääni";"Voi vaarin kallokaita, Vo vaarin kallokaita.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"";"-1-2+3-1+3-3-4+4-2-3+3-3+1+0+2+2-2-2+2+5+0-3-4+4-2-3+3-3+1+0";"ddududdudduduruudduurdduddudur"
"kjs_0051";"";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Iivana Mishukka/A. O. Väisänen";"1916";"24";"2/4";"G";"Suistamo";"Leppäsyrjä";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"Voi kuin on pieninä palasina leibäni maailmasta, Voi kuin on pieninä palasina leibäni maailmasta. Uskollista riijaria olin minä hagemasta, Uskollista riijaria olin minä hagemasta.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 120";"";"Laulusävelmät: [1]";"-3+3-2-1-2-2+9-4+4-2-3-4+5-5+4+3-5+0-2+0+7-3+3-2-1-2-2+9-4+4-2-3-4+5-5+4+3-5+0-2+0+5+0+0+4-2-2-1-4+4+3-7+2+0+2+1-3+0-2+0+5+0+0+4-2-2-1-4+4+3-7+2+0+2+1-3+0-2+0+7-3+3-2-1-2-2+9-4+4-2-3-4+5-5+4+3-5+0-2+0+7-3+3-2-1-2-2+9-4+4-2-3-4+5-5+4+3-5+0-2+0+5+0+0+4-2-2-1+0-4+4+3-7+2-7+10-1-2+0-2+0+5+0+0+4-2-2-1+0-4+4+3-7+2-7+10-1-2+0-2+0";"duddddududdduduudrdrududdddududdduduudrdrurrudddduuduruudrdrurrudddduuduruudrdrududdddududdduduudrdrududdddududdduduudrdrurrudddrduudududdrdrurrudddrduudududdrdr"
